
Gurobi 12.0.2 (win64) logging started Tue Nov 18 11:17:18 2025

Set parameter LogFile to value "resultados DATA_1_n20m10b2d1\instancia_6_log.txt"
Set parameter TimeLimit to value 3600
Gurobi Optimizer version 12.0.2 build v12.0.2rc0 (win64 - Windows 10.0 (19045.2))

CPU model: Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 2 physical cores, 4 logical processors, using up to 4 threads

Non-default parameters:
TimeLimit  3600

Optimize a model with 4870 rows, 22732 columns and 3270408 nonzeros
Model fingerprint: 0x247ce481
Variable types: 0 continuous, 22732 integer (22732 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e-02, 5e-02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 6e+01]
Found heuristic solution: objective 0.8088750
Presolve removed 199 rows and 6766 columns (presolve time = 5s)...
Presolve removed 276 rows and 6766 columns (presolve time = 10s)...
Presolve removed 276 rows and 6766 columns (presolve time = 15s)...
Presolve removed 276 rows and 6766 columns (presolve time = 20s)...
Presolve removed 276 rows and 6766 columns (presolve time = 25s)...
Presolve removed 276 rows and 6766 columns
Presolve time: 26.42s
Presolved: 4594 rows, 15966 columns, 2224732 nonzeros
Found heuristic solution: objective 0.4608750
Variable types: 0 continuous, 15966 integer (15966 binary)
Deterministic concurrent LP optimizer: primal and dual simplex
Showing primal log only...


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   72851    9.9937738e-01   0.000000e+00   1.229631e+02   1602s
   72971    9.9937788e-01   0.000000e+00   7.850232e+00   1606s
   73211    9.9937915e-01   0.000000e+00   2.562069e+01   1613s
   73331    9.9937972e-01   0.000000e+00   1.061385e+01   1616s
   73571    9.9938081e-01   0.000000e+00   3.460319e+01   1623s
   73691    9.9938143e-01   0.000000e+00   1.354023e+02   1627s
   73811    9.9938185e-01   0.000000e+00   7.277046e+01   1630s
   74061    9.9938307e-01   0.000000e+00   3.437789e+01   1638s
   74181    9.9938364e-01   0.000000e+00   4.905508e+02   1642s
   74311    9.9938424e-01   0.000000e+00   4.000958e+01   1645s
   74561    9.9938526e-01   0.000000e+00   2.891988e+02   1653s
   74681    9.9938595e-01   0.000000e+00   7.165699e+01   1656s
   74921    9.9938691e-01   0.000000e+00   4.088966e+01   1663s
   75041    9.9938741e-01   0.000000e+00   1.938254e+01   1667s
   75161    9.9938790e-01   0.000000e+00   3.387834e+01   1670s
   75401    9.9938883e-01   0.000000e+00   7.016368e+01   1677s
   75521    9.9938930e-01   0.000000e+00   2.276051e+01   1681s
   75761    9.9939031e-01   0.000000e+00   1.975449e+01   1688s
   75881    9.9939080e-01   0.000000e+00   2.313307e+01   1691s
   76121    9.9939165e-01   0.000000e+00   7.371694e+01   1699s
   76241    9.9939204e-01   0.000000e+00   1.596442e+01   1703s
   76361    9.9939243e-01   0.000000e+00   2.025620e+01   1706s
   76601    9.9939312e-01   0.000000e+00   2.074780e+01   1713s
   76721    9.9939347e-01   0.000000e+00   6.936663e+01   1716s
   76961    9.9939431e-01   0.000000e+00   1.184565e+02   1723s
   77081    9.9939474e-01   0.000000e+00   1.269904e+02   1727s
   77201    9.9939514e-01   0.000000e+00   7.981517e+01   1731s
   77441    9.9939581e-01   0.000000e+00   1.286916e+01   1738s
   77561    9.9939617e-01   0.000000e+00   2.464763e+01   1741s
   77801    9.9939701e-01   0.000000e+00   8.933185e+01   1748s
   77921    9.9939734e-01   0.000000e+00   8.252491e+00   1752s
   78041    9.9939776e-01   0.000000e+00   4.003472e+00   1756s
   78281    9.9939852e-01   0.000000e+00   3.359107e+01   1763s
   78401    9.9939887e-01   0.000000e+00   1.345565e+01   1767s
   78521    9.9939916e-01   0.000000e+00   8.457979e+01   1770s
   78761    9.9939978e-01   0.000000e+00   4.614529e+01   1777s
   78881    9.9940012e-01   0.000000e+00   2.280380e+01   1781s
   79121    9.9940071e-01   0.000000e+00   2.223003e+01   1788s
   79241    9.9940100e-01   0.000000e+00   1.281214e+01   1791s
   79481    9.9940168e-01   0.000000e+00   6.936663e+00   1799s
   79601    9.9940193e-01   0.000000e+00   1.798109e+01   1802s
   79721    9.9940225e-01   0.000000e+00   2.837280e+01   1805s
   79961    9.9940284e-01   0.000000e+00   1.905486e+01   1812s
   80081    9.9940309e-01   0.000000e+00   7.863803e+01   1817s
   80201    9.9940334e-01   0.000000e+00   6.121296e+01   1821s
   80441    9.9940388e-01   0.000000e+00   1.308058e+01   1828s
   80561    9.9940414e-01   0.000000e+00   6.727035e+00   1831s
   80801    9.9940459e-01   0.000000e+00   8.841686e+00   1838s
   80921    9.9940480e-01   0.000000e+00   1.495086e+01   1842s
   81041    9.9940507e-01   0.000000e+00   1.293467e+01   1845s
   81281    9.9940564e-01   0.000000e+00   2.265659e+01   1852s
   81401    9.9940588e-01   0.000000e+00   5.336451e+00   1856s
   81641    9.9940629e-01   0.000000e+00   1.147862e+01   1863s
   81761    9.9940648e-01   0.000000e+00   3.088438e+01   1867s
   81881    9.9940664e-01   0.000000e+00   6.041110e+00   1870s
   82121    9.9940706e-01   0.000000e+00   3.261945e+00   1878s
   82241    9.9940725e-01   0.000000e+00   1.797556e+01   1882s
   82361    9.9940742e-01   0.000000e+00   2.492352e+01   1885s
   82601    9.9940790e-01   0.000000e+00   1.431635e+01   1893s
   82721    9.9940811e-01   0.000000e+00   7.203891e+00   1896s
   82961    9.9940848e-01   0.000000e+00   4.362522e+01   1903s
   83081    9.9940865e-01   0.000000e+00   2.680802e+00   1906s
   83321    9.9940905e-01   0.000000e+00   1.526518e+01   1913s
   83441    9.9940925e-01   0.000000e+00   9.069579e+00   1917s
   83561    9.9940947e-01   0.000000e+00   6.093531e+01   1920s
   83801    9.9940986e-01   0.000000e+00   1.035111e+01   1927s
   83921    9.9941006e-01   0.000000e+00   1.911246e+01   1931s
   84161    9.9941042e-01   0.000000e+00   7.530704e+00   1939s
   84281    9.9941057e-01   0.000000e+00   5.150849e+00   1942s
   84401    9.9941080e-01   0.000000e+00   8.996205e+00   1946s
   84641    9.9941118e-01   0.000000e+00   1.498581e+01   1953s
   84761    9.9941134e-01   0.000000e+00   2.668883e+00   1956s
   84881    9.9941150e-01   0.000000e+00   4.269387e+00   1960s
   85121    9.9941179e-01   0.000000e+00   1.214843e+01   1967s
   85241    9.9941192e-01   0.000000e+00   8.951640e+00   1971s
   85481    9.9941220e-01   0.000000e+00   7.585933e+00   1978s
   85601    9.9941236e-01   0.000000e+00   1.043767e+01   1981s
   85841    9.9941262e-01   0.000000e+00   4.897848e+00   1988s
   85961    9.9941276e-01   0.000000e+00   1.285741e+01   1992s
   86081    9.9941292e-01   0.000000e+00   3.853324e+01   1996s


Root relaxation: time limit, 86169 iterations, 12773.32 seconds (2541.10 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0          -    0         0.80888  335.52525      -     - 12800s

Explored 1 nodes (86169 simplex iterations) in 12800.35 seconds (2555.67 work units)
Thread count was 4 (of 4 available processors)

Solution count 2: 0.808875 0.460875 

Time limit reached
Best objective 8.088750000000e-01, best bound 3.355252500000e+02, gap 41380.4822%
