
Gurobi 12.0.2 (win64) logging started Tue Nov 18 11:17:18 2025

Set parameter LogFile to value "resultados DATA_1_n20m10b2d1\instancia_6_log.txt"
Set parameter TimeLimit to value 3600
Gurobi Optimizer version 12.0.2 build v12.0.2rc0 (win64 - Windows 10.0 (19045.2))

CPU model: Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 2 physical cores, 4 logical processors, using up to 4 threads

Non-default parameters:
TimeLimit  3600

Optimize a model with 4870 rows, 22732 columns and 3270408 nonzeros
Model fingerprint: 0x247ce481
Variable types: 0 continuous, 22732 integer (22732 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e-02, 5e-02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 6e+01]
Found heuristic solution: objective 0.8088750
Presolve removed 199 rows and 6766 columns (presolve time = 5s)...
Presolve removed 276 rows and 6766 columns (presolve time = 10s)...
Presolve removed 276 rows and 6766 columns (presolve time = 15s)...
Presolve removed 276 rows and 6766 columns (presolve time = 20s)...
Presolve removed 276 rows and 6766 columns (presolve time = 25s)...
Presolve removed 276 rows and 6766 columns
Presolve time: 26.42s
Presolved: 4594 rows, 15966 columns, 2224732 nonzeros
Found heuristic solution: objective 0.4608750
Variable types: 0 continuous, 15966 integer (15966 binary)
Deterministic concurrent LP optimizer: primal and dual simplex
Showing primal log only...


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   25461    9.9460828e-01   0.000000e+00   1.444939e+03    407s
   25581    9.9466439e-01   0.000000e+00   2.266778e+03    410s
   25821    9.9478675e-01   0.000000e+00   8.842982e+02    416s
   26061    9.9491892e-01   0.000000e+00   6.475676e+03    422s
   26181    9.9501122e-01   0.000000e+00   8.659657e+04    425s
   26421    9.9514270e-01   0.000000e+00   4.974208e+02    431s
   26661    9.9528591e-01   0.000000e+00   2.393597e+03    437s
   26781    9.9534097e-01   0.000000e+00   7.934681e+03    440s
   27021    9.9549576e-01   0.000000e+00   2.366452e+03    446s
   27261    9.9564513e-01   0.000000e+00   9.781387e+02    452s
   27501    9.9579880e-01   0.000000e+00   4.010646e+03    458s
   27621    9.9586829e-01   0.000000e+00   9.308025e+04    461s
   27861    9.9597105e-01   0.000000e+00   1.939996e+04    466s
   28061    9.9611302e-01   0.000000e+00   1.751137e+04    471s
   28321    9.9624115e-01   0.000000e+00   5.504261e+03    477s
   28601    9.9636130e-01   0.000000e+00   7.139608e+03    482s
   28861    9.9646650e-01   0.000000e+00   3.914995e+03    487s
   29081    9.9654777e-01   0.000000e+00   1.763763e+03    492s
   29211    9.9660016e-01   0.000000e+00   1.382584e+03    495s
   29491    9.9670913e-01   0.000000e+00   8.723884e+03    501s
   29781    9.9680978e-01   0.000000e+00   7.387595e+03    508s
   29921    9.9685289e-01   0.000000e+00   1.868942e+03    510s
   30201    9.9693015e-01   0.000000e+00   2.507566e+02    516s
   30491    9.9703231e-01   0.000000e+00   6.275134e+02    521s
   30771    9.9710231e-01   0.000000e+00   6.580968e+02    527s
   30911    9.9713738e-01   0.000000e+00   9.254896e+02    530s
   31161    9.9720247e-01   0.000000e+00   1.208704e+04    536s
   31441    9.9727997e-01   0.000000e+00   7.255234e+04    542s
   31721    9.9736170e-01   0.000000e+00   1.467613e+04    548s
   31861    9.9740261e-01   0.000000e+00   3.936251e+03    552s
   32141    9.9747762e-01   0.000000e+00   2.759383e+03    558s
   32281    9.9751444e-01   0.000000e+00   7.517178e+01    561s
   32561    9.9754655e-01   0.000000e+00   7.228371e+02    567s
   32841    9.9760180e-01   0.000000e+00   8.922772e+02    573s
   32981    9.9762915e-01   0.000000e+00   2.206357e+03    576s
   33261    9.9767751e-01   0.000000e+00   1.712679e+03    582s
   33541    9.9772665e-01   0.000000e+00   7.055561e+02    588s
   33681    9.9775407e-01   0.000000e+00   7.342100e+02    591s
   33961    9.9780205e-01   0.000000e+00   3.358084e+03    597s
   34241    9.9785122e-01   0.000000e+00   3.793930e+02    603s
   34381    9.9787464e-01   0.000000e+00   2.442453e+03    606s
   34661    9.9792104e-01   0.000000e+00   4.576517e+02    611s
   34941    9.9796147e-01   0.000000e+00   2.242079e+03    618s
   35081    9.9798344e-01   0.000000e+00   1.315387e+03    621s
   35361    9.9801278e-01   0.000000e+00   3.802515e+03    627s
   35501    9.9803246e-01   0.000000e+00   4.609514e+02    630s
   35781    9.9807517e-01   0.000000e+00   8.089869e+02    636s
   36061    9.9810753e-01   0.000000e+00   3.335976e+02    642s
   36201    9.9812092e-01   0.000000e+00   2.424064e+02    645s
   36481    9.9815603e-01   0.000000e+00   8.465568e+02    651s
   36761    9.9819647e-01   0.000000e+00   6.473925e+02    657s
   36901    9.9821250e-01   0.000000e+00   1.922270e+03    660s
   37181    9.9824319e-01   0.000000e+00   5.968489e+02    666s
   37461    9.9827290e-01   0.000000e+00   6.694450e+02    672s
   37601    9.9829100e-01   0.000000e+00   2.637944e+02    675s
   37881    9.9832329e-01   0.000000e+00   1.962641e+02    682s
   38161    9.9835793e-01   0.000000e+00   7.029432e+02    688s
   38301    9.9837456e-01   0.000000e+00   4.687577e+02    691s
   38581    9.9840331e-01   0.000000e+00   2.069953e+03    697s
   38861    9.9843730e-01   0.000000e+00   4.300090e+02    703s
   39001    9.9845659e-01   0.000000e+00   1.823284e+03    706s
   39281    9.9848814e-01   0.000000e+00   1.888189e+03    712s
   39561    9.9851469e-01   0.000000e+00   3.137666e+03    718s
   39701    9.9852903e-01   0.000000e+00   1.451332e+03    721s
   39981    9.9855370e-01   0.000000e+00   1.227601e+03    727s
   40261    9.9858245e-01   0.000000e+00   1.010320e+03    733s
   40401    9.9859748e-01   0.000000e+00   6.622667e+02    737s
   40541    9.9861194e-01   0.000000e+00   5.733256e+02    740s
   40821    9.9863369e-01   0.000000e+00   2.658597e+02    746s
   41101    9.9865578e-01   0.000000e+00   2.957638e+02    753s
   41241    9.9866636e-01   0.000000e+00   5.191419e+02    756s
   41521    9.9868601e-01   0.000000e+00   3.125343e+02    762s
   41661    9.9869544e-01   0.000000e+00   4.894552e+02    766s
   41941    9.9870993e-01   0.000000e+00   1.527711e+02    772s
   42081    9.9871699e-01   0.000000e+00   1.011402e+03    776s
   42351    9.9873014e-01   0.000000e+00   7.151435e+02    782s
   42491    9.9873619e-01   0.000000e+00   3.082933e+02    785s
   42771    9.9875261e-01   0.000000e+00   4.730238e+02    792s
   42911    9.9875970e-01   0.000000e+00   2.043993e+03    796s
   43191    9.9877732e-01   0.000000e+00   8.970150e+01    802s
   43331    9.9878736e-01   0.000000e+00   2.929775e+03    805s
